gender,age,days_diff,max_date_income,offer_id_count,amount_count,amount_mean,reward_count,reward_mean,xid-0b1e1539f2cc45b7b9fa7c272da2e1d7,xid-2298d6c36e964ae4a3e7e9706d1fb8c2,xid-2906b810c7d4411798c6938adc9daaa5,xid-3f207df678b143eea3cee63160fa8bed,xid-4d5c57ea9a6940dd891ad53e9dbe8da0,xid-5a8bc65990b245e5a138643cd4eb9837,xid-9b98b8c7a33c4b65b9aebfe6a799e6d9,xid-ae264e3637204a6fb9bb56bc8210ddfd,xid-f19421c1d4aa40978ebb69ca19b0e20d,xid-fafdcd668e3743c1bb461111dcafc2a4
M,24.0,75,52828.859939179776,8,5,1.21,0,,0,0,0,0,0,1,1,1,0,0
M,55.0,707,65002.39875611415,11,2,17.79,1,10.0,1,1,0,0,1,0,1,0,1,0
M,92.0,577,33881.159140127165,12,14,7.802142857142857,3,3.3333333333333335,0,1,0,0,0,0,1,1,1,1
M,64.0,346,41951.5967803746,9,14,8.975714285714286,3,3.0,0,1,0,0,0,0,0,0,0,0
F,52.0,802,98292.13817968249,8,4,19.53,2,3.5,0,0,1,0,0,1,0,0,1,0
F,75.0,944,43928.50318037037,7,14,8.625,3,6.0,0,1,0,0,1,0,1,0,0,0
F,79.0,378,59563.04339900416,15,12,14.720833333333333,5,4.4,1,1,1,1,0,0,0,1,0,0
F,65.0,190,74943.01545702686,9,11,17.184545454545454,3,2.0,0,0,1,0,0,1,0,0,0,1
M,20.0,7,39057.60514286115,9,5,2.948,1,5.0,0,0,1,1,0,1,1,0,0,0
M,31.0,1335,79505.97736614729,10,19,2.9610526315789474,3,3.3333333333333335,1,1,1,0,0,0,0,0,1,0
F,36.0,100,63321.16299530976,8,6,4.3566666666666665,2,4.0,0,1,0,0,1,0,0,0,1,0
M,66.0,852,89759.52593099672,13,4,18.71,2,3.5,0,0,1,0,1,0,0,0,1,1
M,72.0,308,110978.1535115241,12,5,27.03,4,4.25,1,0,1,0,1,0,1,0,1,0
F,57.0,405,95844.96540226343,10,6,23.235,2,5.0,1,0,0,0,0,1,0,0,1,0
M,38.0,114,91165.22475259082,17,6,24.775000000000002,5,4.2,0,0,1,1,0,0,0,1,1,1
M,42.0,325,73894.13486952153,13,10,20.137999999999998,4,5.5,0,0,0,1,1,0,1,0,0,1
F,73.0,200,73015.05666376196,10,4,16.05,2,7.5,1,0,1,0,0,1,1,1,0,0
F,71.0,897,95448.06205435008,11,10,21.701,3,7.333333333333333,0,0,0,1,0,1,0,1,0,1
M,30.0,994,57958.92999575388,7,8,12.1675,2,7.5,1,0,0,1,1,0,0,0,0,0
M,49.0,1542,96895.13239259268,14,26,4.41,5,3.6,1,1,0,0,0,0,0,0,0,1
M,55.0,363,74488.5812181375,3,2,3.81,0,,1,0,0,0,1,0,0,0,0,0
M,66.0,1170,60150.19219518738,10,13,3.1653846153846152,2,3.5,0,0,1,1,0,1,1,0,0,0
F,74.0,420,90685.59444897827,16,9,21.428888888888892,5,4.4,1,1,1,0,1,1,0,0,0,1
M,69.0,856,38329.711712873315,15,16,9.580625,4,8.75,1,0,0,1,1,1,0,1,0,0
M,30.0,614,35284.735041518594,16,18,22.20611111111111,6,3.5,0,1,1,0,1,0,0,0,0,1
M,60.0,700,98518.83751866796,14,6,28.233333333333334,4,3.75,1,1,1,0,0,1,0,0,1,0
F,61.0,322,71706.90287112638,12,1,16.11,1,10.0,1,0,1,0,1,0,0,1,1,1
M,79.0,80,73224.8095934228,5,3,2.06,0,,0,0,0,1,0,0,1,0,0,1
F,65.0,873,135837.83178995148,13,6,25.13,4,4.75,0,0,0,1,1,0,0,0,1,1
F,49.0,923,128773.57694873655,10,4,27.0525,3,3.3333333333333335,1,1,0,0,0,0,0,0,1,1
F,54.0,1076,61479.09696786259,9,6,14.866666666666667,2,3.5,1,0,0,1,0,1,0,0,0,1
M,74.0,1238,88282.56961640416,12,25,7.900399999999999,3,4.0,0,0,0,0,1,0,1,1,1,1
F,46.0,814,59362.14120788727,11,15,14.935333333333334,3,8.333333333333334,1,0,0,1,1,1,0,0,0,0
M,55.0,844,96776.90528387125,14,7,24.72857142857143,5,5.0,1,1,1,0,0,0,1,1,0,0
F,61.0,949,113601.66923022053,9,4,21.02,3,3.3333333333333335,1,1,0,1,0,0,0,0,0,1
F,53.0,805,116129.2126699878,14,12,22.933333333333334,5,7.4,0,0,1,0,1,0,1,1,0,0
M,64.0,91,78491.70646627362,8,0,,0,,0,1,0,1,1,1,0,1,0,0
F,80.0,203,62623.934934333534,16,4,14.877500000000001,4,6.75,0,0,1,1,1,0,0,0,1,1
M,57.0,201,50078.02537365146,12,7,14.28,3,4.0,1,0,0,1,0,1,0,0,1,1
M,76.0,292,78699.27365663007,10,2,14.155000000000001,2,6.5,0,1,1,0,0,0,0,1,0,0
F,62.0,205,79357.10909851582,11,2,10.905,1,3.0,0,1,0,1,0,0,0,1,1,0
F,51.0,911,127236.3874360989,16,13,25.573076923076922,5,3.4,0,1,1,1,0,0,1,0,1,1
M,64.0,418,121227.19229324917,12,8,26.598750000000003,4,5.0,1,1,1,0,0,0,1,1,0,0
F,90.0,380,107258.70004116984,17,16,22.595625,5,6.0,0,1,0,0,1,1,1,1,0,1
M,62.0,81,43740.705357457766,7,6,2.4683333333333333,1,5.0,0,0,1,0,1,0,1,1,0,0
M,48.0,119,81007.29889268758,13,4,24.775,3,5.666666666666667,1,0,0,0,1,0,1,1,0,1
M,61.0,990,77624.13308566365,13,5,14.714000000000002,2,6.0,0,0,1,1,1,0,0,1,1,0
F,65.0,824,118974.8792401671,17,10,31.48,5,5.8,0,0,1,0,1,0,0,1,1,1
M,59.0,570,54129.9017850909,8,17,10.016470588235293,2,2.0,1,0,1,0,0,1,0,0,0,1
M,83.0,1094,94458.48112461083,4,2,18.92,1,10.0,0,0,0,0,1,0,1,0,0,0
F,58.0,1427,131052.37094541063,9,12,26.021666666666665,3,4.0,1,0,0,0,0,0,0,0,0,1
M,78.0,555,83186.74715729675,14,9,20.314444444444444,4,6.75,0,0,0,1,1,0,1,0,0,1
M,74.0,1625,100014.4473669769,13,5,17.232,4,4.25,1,0,1,1,0,0,1,0,1,0
M,58.0,1170,66549.14881169668,13,21,3.262380952380952,3,4.333333333333333,0,1,0,1,0,0,1,1,1,0
F,73.0,908,100513.73410093832,13,8,23.51,4,4.25,0,0,1,1,0,0,1,0,1,1
M,42.0,285,60530.30420440938,8,5,2.3600000000000003,1,3.0,0,1,1,0,0,0,0,1,0,0
M,61.0,66,49686.66271061114,6,3,2.7100000000000004,0,,1,1,0,1,0,0,0,0,1,0
M,86.0,111,113628.54963303734,12,4,26.325,4,7.0,0,1,0,1,1,0,1,1,0,0
M,45.0,1769,95837.32533076513,8,15,3.9040000000000004,0,,1,0,0,1,1,1,0,1,0,0
F,27.0,21,38168.633099011604,8,4,2.7475,1,2.0,0,0,0,1,0,1,0,0,1,1
M,70.0,102,50065.25323118608,9,11,4.007272727272727,2,3.5,0,1,0,0,0,0,0,0,1,1
F,62.0,357,75472.58410297972,8,8,18.23875,3,5.666666666666667,0,0,1,0,1,0,1,0,0,0
F,81.0,701,42893.71372838312,10,13,8.53,2,4.0,0,1,0,1,0,1,0,0,1,0
F,66.0,1093,94438.56644872736,8,7,22.40857142857143,2,6.5,0,1,0,0,0,1,0,1,0,0
M,58.0,255,80198.1656966324,11,4,25.07,4,3.5,0,0,1,1,0,0,1,0,0,0
F,63.0,525,74842.80699573322,8,11,16.913636363636364,2,3.5,0,0,1,0,0,0,0,0,1,1
F,72.0,17,101362.6827991237,5,0,,0,,0,0,1,0,1,0,0,1,0,0
F,50.0,40,63533.59449013909,6,2,18.619999999999997,0,,0,1,0,0,0,0,1,1,0,0
M,68.0,696,123913.27714201032,9,2,25.585,2,7.5,1,0,0,0,1,1,0,0,0,0
M,85.0,24,47238.44405343872,6,5,3.0759999999999996,0,,0,0,0,1,1,0,1,0,0,0
M,45.0,1199,73395.5286846747,12,23,3.1226086956521737,3,3.0,0,0,1,0,1,0,0,0,1,1
F,49.0,203,52186.61244527795,12,9,12.254444444444445,2,6.0,0,0,1,0,1,1,0,1,0,1
F,74.0,1019,80579.60909213887,8,8,18.072499999999998,3,5.666666666666667,1,0,1,0,0,0,0,1,0,0
M,29.0,1673,93916.9065297352,12,28,3.9528571428571424,3,6.666666666666667,0,0,0,0,1,0,1,1,0,0
M,19.0,360,70126.02988795367,9,9,4.228888888888889,1,3.0,0,1,0,0,1,1,0,0,0,0
M,18.0,297,54295.90047928171,5,5,3.816,1,3.0,0,1,0,1,1,0,0,0,0,0
M,83.0,939,85326.53010730784,15,13,17.445384615384615,5,4.2,0,0,1,0,0,0,0,1,1,1
F,34.0,496,52181.61745267958,4,7,9.894285714285715,0,,0,0,0,1,0,1,0,0,0,0
F,62.0,106,66469.12802545461,9,7,19.36285714285714,2,5.0,1,0,0,1,0,0,1,0,0,0
M,35.0,1059,61259.12044040535,14,30,23.906999999999996,5,4.6,0,1,0,0,1,0,1,0,0,1
M,84.0,843,82422.20524961209,15,7,16.964285714285715,3,3.3333333333333335,1,1,0,1,0,0,0,0,0,1
M,56.0,890,125467.82211582753,10,7,25.481428571428573,3,4.666666666666667,0,0,0,1,0,0,0,1,0,1
F,30.0,1049,46159.45596826989,5,5,6.7620000000000005,1,5.0,0,0,0,0,0,1,1,0,0,0
M,70.0,416,126634.46306717397,11,4,24.8925,2,3.5,0,0,1,1,0,0,1,0,1,0
M,31.0,10,54113.980293178865,11,13,13.188461538461537,4,8.75,0,0,0,0,1,0,0,1,1,0
F,58.0,896,119586.91057940136,8,10,29.154000000000003,2,2.5,0,1,0,1,0,0,0,0,0,1
F,75.0,781,77814.69420196403,6,9,17.225555555555555,2,2.0,0,0,1,0,0,0,0,0,0,0
M,74.0,80,50850.562217654726,6,4,4.095,0,,0,0,0,0,1,1,0,0,1,0
M,61.0,182,40525.7162043378,11,5,2.612,2,3.5,0,1,1,0,1,1,0,0,1,0
M,61.0,1331,91354.7920462004,9,14,3.7035714285714287,2,3.5,0,0,1,1,0,1,0,0,1,0
M,34.0,66,41574.55451296034,8,8,2.94375,1,2.0,0,0,0,1,0,1,0,1,0,1
F,32.0,16,72243.31188889944,7,6,2.5766666666666667,0,,1,1,1,0,0,0,0,0,1,0
F,48.0,691,98332.05860317573,9,10,24.0,3,4.333333333333333,1,1,0,0,0,0,0,0,1,0
F,79.0,897,93031.65542006274,8,5,16.52,2,4.0,1,1,0,0,0,0,1,0,0,0
F,19.0,329,53591.65515418963,4,3,2.65,0,,1,0,0,0,0,0,0,0,0,1
M,59.0,970,104290.24808831431,17,18,24.178888888888892,5,4.8,1,0,1,1,0,0,1,1,0,0
F,39.0,280,76378.76602367066,13,8,17.11125,4,7.5,1,0,0,0,1,0,0,1,1,0
F,26.0,210,33448.76476112722,9,7,2.875714285714286,1,2.0,1,1,0,1,0,1,0,0,0,1
F,51.0,637,85781.29229766807,11,8,18.98,3,3.6666666666666665,0,1,0,1,0,1,1,0,0,0
M,59.0,1808,76131.67732197094,3,7,13.208571428571428,1,5.0,0,0,0,0,0,0,1,0,0,0
M,61.0,968,83397.02216839931,8,5,19.284,0,,0,0,0,1,1,0,1,1,0,0
M,48.0,473,87285.20083568004,11,11,23.793636363636367,3,4.666666666666667,0,0,1,0,0,1,0,1,0,0
M,53.0,227,72382.89008131821,8,2,2.21,0,,1,1,0,0,1,0,0,0,0,0
F,74.0,232,105013.39241642311,12,4,28.74,2,4.0,0,1,1,0,0,1,1,1,0,0
M,40.0,513,71310.97518838747,9,8,4.42625,3,3.0,0,0,1,0,0,0,1,0,0,1
F,61.0,690,111033.96961263347,11,11,20.485454545454544,3,4.333333333333333,0,1,0,1,0,0,1,0,0,0
M,58.0,170,90175.0685636247,10,3,22.69666666666667,2,7.5,1,1,0,0,0,0,0,1,0,0
F,70.0,1061,135077.05276489301,14,8,25.37,5,5.2,1,1,1,0,0,0,1,1,0,0
M,53.0,1734,74953.00948812993,14,17,3.421176470588235,2,3.5,0,0,1,0,1,0,0,1,1,1
F,59.0,169,81865.84482515995,7,3,23.866666666666664,2,3.5,0,1,1,0,0,1,1,0,0,0
F,67.0,546,92005.14788148581,11,14,24.24857142857143,3,3.6666666666666665,1,1,0,1,0,0,0,0,0,0
F,54.0,834,98957.584159003,10,6,26.125,3,6.0,1,1,0,0,1,0,0,0,1,0
F,51.0,300,53264.95742071254,6,7,10.784285714285716,2,7.5,0,0,0,0,0,0,0,1,1,0
M,45.0,92,30587.63312635803,10,4,2.1125,0,,1,1,1,0,0,1,1,0,0,0
F,49.0,985,121852.24876823643,14,14,25.432142857142857,4,5.5,0,0,1,0,0,1,1,1,1,0
M,25.0,160,40338.162974484556,9,11,9.69909090909091,2,6.0,0,0,0,1,1,1,0,0,0,1
M,58.0,279,85907.99597966151,11,9,18.77111111111111,3,7.333333333333333,0,0,0,0,1,1,0,1,0,1
F,22.0,980,62706.22699801972,12,14,11.184285714285712,3,4.333333333333333,0,1,0,0,0,1,1,0,1,0
M,62.0,9,50094.97356108754,10,6,4.61,1,5.0,0,0,1,0,0,1,0,1,1,1
F,75.0,345,92489.14571761005,13,15,25.197333333333336,3,6.666666666666667,1,0,0,1,1,1,0,0,0,0
F,51.0,1016,104067.79908531012,11,8,28.7625,3,4.0,1,0,1,0,0,0,1,0,1,0
M,66.0,625,108381.72608962843,13,4,20.525,2,7.5,0,0,0,1,0,1,0,1,1,0
F,58.0,183,100815.98507474447,13,5,27.369999999999997,3,5.0,1,1,1,0,1,0,0,1,0,0
M,55.0,1205,81224.06645957206,8,10,3.6399999999999997,1,3.0,0,1,1,0,1,0,1,1,0,0
M,72.0,929,66901.0624943145,7,16,3.135,1,2.0,0,0,0,0,1,0,0,1,0,1
M,54.0,926,38899.64053752653,10,13,6.846153846153846,3,4.0,1,0,1,0,0,0,0,1,1,0
F,68.0,383,66130.51202261742,10,3,13.699999999999998,1,5.0,1,0,0,1,0,1,0,1,0,0
M,36.0,0,33000.0,3,3,2.8000000000000003,0,,0,0,1,0,0,0,0,0,1,0
F,27.0,513,37883.95556883085,6,8,8.17625,2,6.0,0,0,0,0,0,0,0,1,0,1
M,58.0,350,67825.14422799376,12,2,19.98,2,2.0,1,1,1,0,0,1,0,0,0,1
F,53.0,319,87705.19105676068,11,5,21.256,4,6.75,1,1,1,0,1,0,0,0,0,0
M,36.0,614,43252.25585734537,6,8,7.140000000000001,2,7.5,0,0,0,1,1,0,1,0,0,0
M,57.0,261,35923.54536755521,10,5,4.162,2,5.0,1,0,1,0,1,0,1,0,0,0
M,23.0,499,59991.28358855812,5,12,3.2558333333333334,1,5.0,0,0,1,0,0,0,1,0,0,0
F,67.0,333,54709.61136478149,8,11,11.91909090909091,2,2.5,0,1,0,0,0,1,0,0,0,1
M,42.0,72,64979.01940581401,9,2,18.049999999999997,1,5.0,0,0,0,1,0,0,1,0,0,1
F,70.0,276,94333.04646477717,12,6,28.771666666666665,2,3.5,0,0,1,1,1,0,0,0,1,0
F,56.0,573,89145.1682128136,12,6,17.798333333333332,2,3.5,0,0,1,1,0,1,1,0,0,1
M,26.0,1777,109089.91115357161,14,18,4.2461111111111105,4,3.0,1,1,0,1,0,0,0,0,1,1
M,50.0,447,98895.18868864249,9,12,24.85166666666667,3,2.6666666666666665,0,1,0,0,0,0,0,0,0,1
F,50.0,364,104737.91345550895,5,4,22.325,1,10.0,0,0,0,0,1,0,0,1,0,0
M,36.0,397,80461.06507043101,11,19,17.51,4,3.5,0,0,1,0,0,0,1,0,0,1
M,75.0,758,99731.06362997286,14,13,20.070769230769233,4,6.75,0,0,1,0,0,1,0,1,1,0
F,53.0,719,83786.24284181521,13,12,74.44416666666667,3,3.0,0,0,1,1,0,0,1,0,1,1
F,51.0,145,92794.11618629878,11,4,17.6125,1,5.0,1,0,0,0,0,1,1,0,1,0
M,64.0,25,73385.82120275187,16,7,22.23857142857143,4,4.75,1,0,1,1,0,0,0,1,0,1
F,52.0,666,110473.50683037339,14,8,20.27375,4,8.75,0,0,0,0,1,1,1,0,0,0
F,45.0,1065,62588.43795303381,13,17,13.58,4,5.5,0,0,1,0,1,1,1,0,0,1
M,67.0,105,41917.84135494055,11,7,3.4514285714285715,1,2.0,1,0,0,1,0,1,0,1,0,1
M,68.0,187,41608.68041972879,7,2,3.3150000000000004,0,,1,0,0,0,1,0,1,0,1,0
F,62.0,300,105464.61569301084,11,2,17.055,1,5.0,1,1,0,1,1,0,0,0,0,0
F,39.0,385,52059.07312303008,9,12,11.945,2,7.5,1,0,0,0,0,1,0,1,0,0
M,67.0,840,70432.39155077789,12,7,15.358571428571429,3,4.0,1,0,1,1,0,1,1,0,0,0
M,73.0,346,46254.324655284814,9,6,2.151666666666667,0,,0,1,0,1,1,0,1,0,0,0
M,84.0,419,89574.10803935365,12,9,21.691111111111113,4,4.0,0,1,0,1,0,0,1,0,1,0
M,54.0,336,70845.4731249597,13,4,22.9925,3,5.666666666666667,0,1,1,0,1,0,1,0,0,0
F,99.0,754,87923.8103360535,7,5,21.362000000000002,1,2.0,0,0,0,0,1,0,0,0,0,1
F,32.0,1669,58293.135048620265,8,27,3.2329629629629633,0,,0,0,0,0,0,1,0,1,0,0
F,55.0,828,61919.13832645576,5,5,17.880000000000003,1,3.0,0,1,0,0,0,0,0,0,1,0
M,64.0,992,51771.24961478831,13,12,11.009166666666665,3,8.333333333333334,1,0,0,0,0,1,0,1,0,0
M,59.0,1462,83024.83110987485,7,4,13.435,1,5.0,1,0,0,0,0,0,0,0,0,0
M,59.0,511,79077.25884444064,15,10,17.807,5,4.8,1,0,1,0,0,0,0,1,1,1
M,56.0,249,60072.577579648554,12,0,,0,,0,1,1,0,0,0,1,1,1,1
M,34.0,105,37828.29585689757,12,9,9.403333333333332,4,5.0,0,1,1,0,0,0,0,1,1,0
F,75.0,169,79793.2917916116,7,4,15.955,1,5.0,1,1,0,1,0,0,0,0,1,0
M,67.0,570,81194.85267763634,8,9,20.507777777777775,3,3.3333333333333335,1,1,0,0,0,0,0,0,0,1
M,64.0,250,44273.338677698135,9,3,3.4633333333333334,0,,1,0,1,1,1,0,0,1,0,0
M,77.0,1494,86327.47077380374,7,10,3.136,2,2.5,1,1,1,0,0,0,0,0,0,0
M,29.0,46,71691.9936464249,9,13,20.526153846153843,2,5.0,1,0,0,0,0,1,0,0,0,0
M,53.0,206,95039.73364190795,13,2,24.745,2,5.0,0,0,0,1,1,0,1,0,1,1
M,58.0,151,35099.93230747795,8,10,6.220000000000001,1,2.0,0,0,1,1,0,1,0,0,0,0
M,30.0,746,63198.449240404574,11,10,13.975999999999999,2,3.5,0,0,1,1,0,1,1,0,1,0
M,66.0,96,46940.61088798114,8,5,3.7939999999999996,1,10.0,0,1,0,0,1,0,1,1,0,0
F,74.0,606,107948.39675387618,11,2,16.66,2,5.0,0,0,0,1,1,1,1,0,0,0
F,44.0,86,57024.72679213255,10,3,17.543333333333333,2,3.5,1,0,0,1,0,0,0,1,0,1
F,89.0,980,93444.57356567644,11,5,12.872,3,5.666666666666667,1,0,1,0,0,1,0,1,0,0
F,48.0,305,60786.10209754474,11,11,53.127272727272725,3,3.3333333333333335,0,1,0,0,0,1,0,0,1,1
M,60.0,775,35325.59639351484,13,24,7.829166666666667,4,4.0,0,1,0,0,0,1,1,0,1,0
F,67.0,872,123790.68044363061,10,5,30.227999999999998,3,2.6666666666666665,0,1,1,0,0,1,0,0,0,0
F,66.0,3,71044.92571920657,10,5,13.687999999999999,1,10.0,0,1,0,0,1,1,0,1,0,0
O,51.0,304,85295.84079621399,8,5,15.75,2,2.5,1,1,1,0,0,0,0,0,0,0
M,25.0,96,34695.23413459476,9,4,2.5475000000000003,0,,0,1,1,0,1,1,0,0,0,1
M,31.0,38,35281.55985909161,5,5,1.574,0,,0,0,1,1,0,0,1,0,0,0
M,82.0,967,89510.28072477347,13,14,19.009999999999998,5,3.2,1,1,0,0,0,0,0,0,0,1
F,56.0,400,95743.97305426297,12,10,23.018,4,4.5,1,1,0,0,0,0,1,0,0,0
M,45.0,470,106001.01930927015,13,6,25.793333333333333,3,3.3333333333333335,1,1,0,0,0,0,0,0,1,1
M,48.0,234,70388.64985989654,7,9,3.05,1,3.0,0,1,0,0,1,1,0,0,0,0
F,50.0,751,108956.58181951573,16,8,24.85125,5,5.6,0,1,0,0,1,1,0,1,0,1
F,42.0,205,74136.24665782398,15,4,16.61,4,7.0,1,1,1,0,1,1,0,0,0,0
F,59.0,2,85035.85242750509,9,3,17.24,1,5.0,1,0,0,1,1,0,1,0,0,0
M,64.0,1688,69947.06606002837,7,14,2.439285714285714,2,5.0,0,0,0,0,0,1,1,0,1,0
M,62.0,390,82513.81101810483,13,10,20.744999999999997,2,3.5,0,0,0,1,1,1,0,0,1,1
M,65.0,1001,46929.62688844609,12,19,3.238421052631579,1,3.0,1,1,0,1,0,0,1,0,1,0
F,58.0,285,77521.26678810324,7,4,17.2875,1,5.0,0,0,0,1,0,0,0,0,1,0
M,82.0,277,80571.04893908999,13,6,22.076666666666668,3,6.0,1,1,0,1,1,0,0,0,0,0
M,57.0,1751,124405.8794364646,7,4,22.8375,0,,0,0,0,1,0,0,0,1,0,0
M,26.0,290,59531.09727562887,10,8,2.43375,0,,1,0,1,0,1,0,0,1,0,1
M,41.0,1155,82923.75103622342,12,19,3.7931578947368423,3,3.0,0,0,0,0,1,0,1,0,0,1
F,38.0,1081,62799.94505111184,12,12,41.57333333333333,4,5.0,1,0,0,0,0,0,1,0,1,0
F,75.0,944,57351.101374372425,11,9,9.50111111111111,4,5.75,1,1,0,0,1,1,0,0,0,0
F,68.0,14,57168.5086201527,13,7,16.592857142857145,3,5.666666666666667,1,0,0,0,0,1,0,1,1,1
F,19.0,418,79725.9913279927,7,13,17.666153846153847,1,3.0,0,1,0,1,0,1,0,0,0,0
M,66.0,603,49965.53615753956,7,9,3.0055555555555555,1,5.0,1,0,0,1,1,0,1,0,0,0
F,46.0,126,95503.87917142168,7,4,21.134999999999998,1,2.0,0,0,1,1,0,0,0,0,0,1
M,40.0,441,54872.307892974226,14,12,11.515,4,5.0,1,0,0,0,0,1,1,0,1,0
M,69.0,571,80084.0305017718,11,1,35.41,1,10.0,1,1,0,1,1,1,0,0,0,0
M,58.0,892,63967.3020259756,11,10,11.117,3,3.0,0,0,1,1,0,1,0,0,1,1
M,59.0,273,37073.80676744046,13,14,8.122857142857143,4,2.75,0,0,1,1,0,0,1,0,0,1
M,64.0,284,49900.42986647388,15,17,9.538235294117648,5,3.8,1,0,1,0,0,0,0,0,1,1
M,48.0,42,36320.22430421793,7,1,2.29,0,,0,1,0,1,0,0,1,1,0,0
M,54.0,385,48805.3810528407,9,14,7.53,2,6.5,0,1,0,1,1,0,0,0,0,0
M,74.0,559,108008.9995801318,11,12,26.541666666666668,3,5.0,0,1,0,0,0,1,0,1,0,1
M,40.0,525,35745.81826661885,12,12,7.453333333333333,5,5.0,0,1,1,0,0,0,1,1,0,0
M,50.0,205,91887.17895617621,13,5,24.0,4,5.0,0,1,1,0,1,0,1,0,0,0
O,63.0,197,33357.20462605009,18,17,21.01823529411765,6,5.666666666666667,0,1,0,0,1,0,0,1,1,0
M,27.0,371,38929.21872068929,14,18,2.1277777777777778,3,2.6666666666666665,0,1,0,0,1,0,1,0,0,1
F,67.0,49,117204.69631810398,3,6,30.14333333333333,1,2.0,1,0,1,0,0,0,0,0,0,0
M,29.0,44,50466.03323639476,5,2,2.92,0,,0,1,0,1,0,0,1,0,0,0
F,63.0,1015,70602.54682401792,12,6,14.543333333333331,2,7.5,0,0,0,1,1,1,0,0,1,0
M,52.0,688,112143.27218586828,11,6,19.645,3,5.666666666666667,1,0,0,1,1,1,0,0,0,1
F,68.0,265,50758.38547434688,11,15,15.408,3,6.0,0,1,0,0,0,1,1,1,0,0
F,52.0,918,97085.19814961171,10,5,22.22,2,7.5,1,0,0,0,0,1,0,1,0,0
M,37.0,636,50314.414792682845,8,10,10.434000000000001,3,3.3333333333333335,1,1,0,0,0,0,0,0,0,1
F,49.0,38,43345.916398312555,5,3,2.956666666666667,0,,0,0,0,0,1,1,1,0,0,0
F,36.0,907,73855.96518774121,12,6,15.901666666666666,2,3.5,0,0,0,1,0,1,0,0,1,1
M,26.0,247,55833.40794495489,10,9,3.586666666666667,1,2.0,0,0,1,1,1,0,0,1,1,0
M,61.0,1759,82594.26362369122,13,17,3.718235294117647,4,2.5,0,1,1,1,0,0,0,0,1,1
M,69.0,718,63989.88611987111,11,13,11.44076923076923,3,8.333333333333334,1,0,0,0,0,1,0,1,0,0
F,74.0,1700,121644.14537020087,3,5,20.534,0,,1,0,0,0,0,1,0,0,0,0
F,79.0,1028,75764.50357201275,9,10,3.5090000000000003,1,5.0,1,0,0,1,0,1,1,0,0,0
F,42.0,337,63344.91431314358,6,7,17.482857142857142,2,3.0,0,1,0,0,0,0,0,0,0,0
F,49.0,198,76112.1697773444,13,6,15.533333333333331,3,5.666666666666667,0,0,0,1,1,0,1,1,0,1
M,37.0,494,77684.53577513086,7,9,3.7522222222222226,0,,0,1,0,1,0,0,1,1,0,0
M,48.0,152,68149.53067596175,12,1,14.29,2,3.5,0,1,0,0,0,0,1,1,0,1
F,51.0,422,118050.30436588236,9,6,25.816666666666666,2,4.0,1,1,0,0,0,1,1,0,0,0
M,43.0,1196,52759.89084920024,12,10,3.251,2,3.5,0,0,0,1,1,0,1,0,0,1
F,57.0,785,69620.31419624918,12,8,15.44,4,3.75,1,1,0,0,0,0,0,0,1,1
M,59.0,264,38060.76306524701,6,6,1.3016666666666665,0,,0,1,0,0,0,0,0,1,1,0
M,94.0,50,80847.87019857034,17,4,19.862499999999997,4,4.25,0,1,1,0,1,0,0,0,0,1
M,67.0,308,87502.00565331707,11,9,22.51888888888889,4,3.75,1,1,1,0,0,0,1,0,0,0
F,70.0,494,39952.0469700673,8,7,9.040000000000001,2,3.5,0,0,1,1,0,0,0,0,1,0
F,56.0,150,36124.665490595995,8,6,4.255,1,2.0,0,0,1,0,1,0,0,0,1,0
F,91.0,868,105673.74769653373,8,7,22.46857142857143,2,2.5,0,1,0,1,0,0,0,0,0,1
F,72.0,245,111619.7354372874,14,5,28.284,4,5.75,1,1,1,0,1,0,1,1,0,0
M,76.0,539,78425.14165552238,6,6,17.116666666666667,1,10.0,0,0,0,1,1,0,0,1,0,0
F,65.0,746,114693.4819548083,7,7,27.639999999999997,2,7.5,1,0,0,0,1,1,0,0,0,0
M,58.0,510,106898.82184661226,13,9,24.416666666666668,3,6.666666666666667,1,0,0,1,0,0,1,1,1,0
M,45.0,92,94821.66269170989,14,6,19.631666666666668,3,5.666666666666667,1,0,0,1,0,0,0,1,1,1
F,81.0,900,132986.45973547647,12,8,27.97125,4,5.75,0,1,0,0,1,0,1,0,1,0
M,58.0,384,82409.48772698599,9,2,23.95,1,5.0,0,0,0,0,0,1,1,0,0,0
F,39.0,149,46436.20628084676,8,3,2.37,0,,0,0,1,0,0,1,1,0,0,1
M,59.0,1344,73018.91362526885,16,32,3.239375,5,5.0,1,1,1,0,0,1,0,1,1,0
M,60.0,123,71839.1835184303,6,2,4.29,0,,0,1,0,0,0,1,0,0,0,1
M,60.0,362,79869.46207005142,12,8,17.44125,3,7.333333333333333,0,0,0,0,0,1,0,1,0,1
M,53.0,891,90500.68274086431,15,19,18.928947368421053,5,3.4,0,1,1,1,0,0,0,0,1,1
M,78.0,158,53761.54104339722,7,5,2.548,0,,1,1,0,0,1,0,0,0,0,1
F,37.0,427,65652.68100340749,10,8,17.39125,3,6.666666666666667,0,0,0,1,1,1,1,0,1,0
F,70.0,789,113376.09330159653,15,11,23.667272727272724,4,6.25,1,0,0,0,0,0,1,1,1,0
